Prompt,Response,,,,,,,,,,,,,,,,
How are beneficiaries connected to pro bono advocates?,"Beneficiaries are connected to pro bono advocates through the Nyaya Bandhu Mobile Application, which is available on Android, iOS, and the UMANG platform, developed in collaboration with technical partner CSC e-Governance Pvt. Ltd.",,,,,,,,,,,,,,,,
What services are offered under Nyaya Bandhu?,"The services include Pro Bono Panels at High Courts, Pro Bono Club Schemes at Law Schools, and direct connections between beneficiaries and pro bono lawyers via the mobile application.",,,,,,,,,,,,,,,,
What is the aim of the Nyaya Bandhu outreach?,"The outreach aims to create a database of pro bono advocates, connect these advocates with registered beneficiaries, and advance the pro bono culture in the country.",,,,,,,,,,,,,,,,
What initiatives are included in creating an ecosystem for pro bono legal services?,"Initiatives include the creation of Nyaya Bandhu Panels in High Courts, the rollout of Pro Bono Club Schemes in law schools, and collaboration with stakeholders such as civil society organizations and law firms.",,,,,,,,,,,,,,,,
Where can more information about Nyaya Bandhu be found?,More information can be found on the Nyaya Bandhu website: www.probono-doj.in. Users can also download the Nyaya Bandhu Mobile App from the respective app stores.,,,,,,,,,,,,,,,,
What is the background of the Legal Literacy and Legal Awareness Programme?,"The Department of Justice (DoJ) has formulated a scheme named ""Designing Innovative Solutions and Holistic Approach Scheme,"" expanding the Legal Literacy and Legal Awareness Programme to an all-India level. It aims for a multi-stakeholder, progressive approach to empower vulnerable sections with access to their legal rights and entitlements.",,,,,,,,,,,,,,,,
What are the key objectives of the programme?,"The objectives include: Using technology to expand delivery scope, mainstreaming legal literacy through partnerships, building capacity using existing grassroots workforce, developing indicators for effectiveness measurement, and conducting concurrent evaluations and assessments.",,,,,,,,,,,,,,,,
What collaborations are involved in this initiative?,"Collaborations include the Ministry of Panchayati Raj, which developed short movies for dissemination, and the Department of School Education & Literacy, which uploaded legal literacy content on the DIKSHA portal. Various National Law Universities are involved in initiatives for digital legal literacy and training sessions.",,,,,,,,,,,,,,,,
What specific projects are being implemented under this initiative?,"Specific projects include training and sensitization programs on legal literacy across various states, documentation of customary laws in the North Eastern Region, and training programs on women's rights and child sexual abuse.",,,,,,,,,,,,,,,,
Who are the partner agencies involved?,"Partner agencies include National Law Institute University (NLIU), Madhya Pradesh, National Law School of India University (NLSIU), Karnataka, Law Research Institute (LRI), Assam, and Meghalaya State Legal Services Authority (MSLSA), Shillong.",,,,,,,,,,,,,,,,
How is the initiative structured to reach its objectives?,"The initiative integrates innovative ideas and tools, focuses on capacity building, and utilizes a grassroots workforce. It emphasizes collaboration with various stakeholders to create a comprehensive framework for promoting legal literacy and awareness nationwide.",,,,,,,,,,,,,,,,
What is the background of NALSA?,"Article 39A of the Constitution of India mandates free legal aid to the poor and weaker sections, ensuring justice for all. The Legal Services Authorities Act was enacted in 1987, establishing a nationwide network for providing free legal services. NALSA monitors and evaluates the implementation of these programs and lays down policies to ensure access to legal services.",,,,,,,,,,,,,,,,
How is NALSA structured?,"NALSA comprises State Legal Services Authorities, High Court Legal Services Committees, District Legal Services Authorities, and Taluk Legal Services Committees, which implement policies and provide free legal services and conduct Lok Adalats. A Supreme Court Legal Services Committee administers legal services related to the Supreme Court.",,,,,,,,,,,,,,,,
What are the main functions of NALSA?,"NALSA is responsible for laying down policies and guidelines for legal services, ensuring the provision of free and competent legal services, organizing Lok Adalats for dispute resolution, and conducting legal awareness camps in rural areas.",,,,,,,,,,,,,,,,
What free legal services are provided by NALSA?,"Free legal services include payment of court fees, providing legal representation, obtaining certified copies of documents, and preparation of legal documents. Eligible individuals include women, children, SC/ST members, and others with income below a specified limit.",,,,,,,,,,,,,,,,
What is a Lok Adalat?,A Lok Adalat is an alternative dispute resolution forum where disputes pending in court or at the pre-litigation stage are settled amicably. Awards made by Lok Adalats are deemed civil court decrees and are final and binding. E-Lok Adalats have also been introduced to enhance access to justice.,,,,,,,,,,,,,,,,
What kind of legal awareness programmes does NALSA conduct?,"NALSA conducts legal literacy programs, particularly in schools and colleges, and empowers women through routine legal literacy camps. These programs aim to enhance awareness of legal rights and responsibilities among various segments of society.",,,,,,,,,,,,,,,,
What are the details of the grant-in-aid released to NALSA?,"The National Legal Services Authority receives recurring grants to perform its functions. For FY 2021-22, an amount of ??145 million was disbursed, and the amounts for previous years ranged from ??100 million to ??190 million, intended for various functions under the Legal Services Authorities Act.",,,,,,,,,,,,,,,,
What is "Hamara Samvidhan Hamara Samman"?,"""Hamara Samvidhan Hamara Samman"" is a year-long campaign initiated by the Department of Justice to celebrate India's 75th year as a Republic. The campaign encourages citizens to actively participate in shaping the vision of Viksit Bharat (Developed India) by 2047, emphasizing the importance of legal rights and responsibilities.",,,,,,,,,,,,,,,,
What are the main objectives of the campaign?,"The campaign aims to empower citizens with knowledge about their legal rights, foster a culture of legal compliance, and reinforce the rule of law to strengthen the nation's fabric. It seeks to unite individuals in a collective effort to build a nation based on progress, inclusivity, and sustainable development.",,,,,,,,,,,,,,,,
What activities are involved in the campaign?,"Various activities and events will be organized throughout the campaign, both online and offline, to raise awareness about citizens' rights, duties, and entitlements. These activities are guided by three overarching sub-themes: 1. Sabko Nyay ?Har Ghar Nyay: Ensuring justice for all, regardless of socio-economic backgrounds.2. Nav Bharat Nav Sankalp: Committing to a new India driven by innovative 3. Vidhi Jagriti Abhiyaan: Promoting legal literacy and awareness through grassroots initiatives and educational efforts. ideas and renewed commitment.",,,,,,,,,,,,,,,,
What is the significance of participating in this campaign?,"Participation in ""Hamara Samvidhan Hamara Samman"" signifies a commitment to collective progress, encouraging individuals to look beyond personal interests and contribute to building a just and equitable nation. It emphasizes the importance of community engagement in promoting legal awareness and ensuring access to justice for all citizens.",,,,,,,,,,,,,,,,
How does the campaign contribute to the vision of Viksit Bharat?,"By empowering citizens with knowledge of their rights and responsibilities, the campaign fosters a culture of legal compliance and respect for the rule of law. This collective effort aims to create a more just and inclusive society, ultimately contributing to the realization of the vision of Viksit Bharat by 2047, where every citizen can participate in the nation? progress.",,,,,,,,,,,,,,,,
What is the Panch Pran Pledge?,"The Panch Pran Pledge is a commitment inspired by the Prime Minister of India, focusing on aspirations for a developed India, eradicating servility, pride in traditions, dedication to unity, and instilling a sense of duty in every citizen.",,,,,,,,,,,,,,,,
Timeline of the Programme,"The programme will run for an entire year, from January 2024 to January 2025.",,,,,,,,,,,,,,,,
Who are the Participants?,All citizens of India are invited to participate.,,,,,,,,,,,,,,,,
How can citizens participate in the programme?,"Citizens can visit the MyGov Platform's activity page to recite the pledge and generate e-certificates. Additionally, Village Level Entrepreneurs (VLEs) in 2.5 Lakh Gram Panchayats will encourage at least 200 citizens visiting the Common Service Centres (CSCs) to read the pledge. The pledge will be available in digital format and posted within CSCs, with QR codes linking to the MyGov campaign page displayed. Brochures and pamphlets will also be distributed.",,,,,,,,,,,,,,,,
Expected Outcome of the Panch Pran Pledge,"The pledge aims to raise awareness among citizens across 2.5 Lakh Gram Panchayats, fostering patriotism and responsibility. It will be translated into 22 Scheduled Languages through CSCs to ensure broader accessibility and inclusivity.",,,,,,,,,,,,,,,,
What is the Nyay Sahayak Programme?,"Nyay Sahayaks are community-based messengers generating awareness about legal services offered by the Department of Justice (DoJ) in Aspirational Blocks and Districts. Currently, 460 Nyaya Sahayaks are engaged in this initiative.",,,,,,,,,,,,,,,,
Timeline of the Nyay Sahayak Programme,"This programme will run for an entire year (January 2024 ?January 2025), with a pilot phase from January 2024 to March 2025.",,,,,,,,,,,,,,,,
Who are the Participants of the Nyay Sahayak Programme?,Citizens residing in Aspirational Districts and Blocks identified by NITI Aayog are the target participants.,,,,,,,,,,,,,,,,
Methodology of Nyay Sahayak Programme,Nyay Sahayaks will have unique IDs for referral during citizen transactions. Their performance will be linked to incentives. The programme aims to introduce technology with human support at the block level for doorstep delivery of legal services and local participation.,,,,,,,,,,,,,,,,
Expected Outcome of Nyay Sahayak Programme,"The Nyay Sahayaks will facilitate door-to-door delivery of legal services, assist in case registration, and conduct legal awareness sessions (Vidhi Baithaks) monthly at various locations, targeting cross-sector groups such as School Management Committees and Self-Help Groups.",,,,,,,,,,,,,,,,
What is the Nyay Seva Mela?,"The Nyay Seva Mela is a state-level workshop cum fair organized across 36 States/UTs, involving participation from DLSA/SLSA/State Law Departments and Legal Aid Clinics of Law Schools. It includes the release of booklets on state schemes, the felicitation of grassroots functionaries, and visits from VIPs/VVIPs.",,,,,,,,,,,,,,,,
Timeline of the Nyay Seva Mela,The Mela will take place throughout the year (January 2024 ?January 2025).,,,,,,,,,,,,,,,,
Expected Outcome of the Nyay Seva Mela,The Nyay Seva Mela aims to enhance citizen awareness regarding the welfare schemes and programs of the Department of Justice and deliver citizen-centric services.,,,,,,,,,,,,,,,,
What is the Nav Bharat Nav Sankalp Campaign?,"The Nav Bharat Nav Sankalp Campaign aims to raise awareness of the principles of Panch Pran and the Constitution among citizens, especially the youth, through engaging activities on the MyGov platform.",,,,,,,,,,,,,,,,
Timeline of the Campaign,The campaign will run from January 2024 to January 2025.,,,,,,,,,,,,,,,,
What are the four activities in the campaign?,1. Sankalp Saaksharta2. Quiz-Samvidhan3. Panch Pran Rangostav4. Panch Pran Anubhav,,,,,,,,,,,,,,,,
Expected Impact of the Campaign,"The campaign aims to ignite a sense of pride and commitment to the nation? values and principles, fostering a stronger, more informed citizenry for a brighter future.",,,,,,,,,,,,,,,,
What is the Vidhi Jagriti Abhiyan?,"The Vidhi Jagriti Abhiyan is a national initiative aimed at promoting legal literacy and awareness, organized by the Pan India Legal Literacy and Legal Awareness Programme in collaboration with partner agencies across various states. It includes three transformative activities designed to empower citizens with legal knowledge and uphold the principles of justice.",,,,,,,,,,,,,,,,
Timeline of the Abhiyan,January 2024 to January 2025,,,,,,,,,,,,,,,,
What are the three activities in the Abhiyan?,1. Gram Vidhi Chetna2. Vanchit Varg Sammaan Abhiyaan3. Nari Bhagidaari,,,,,,,,,,,,,,,,
Expected Impact of the Abhiyan,"The initiative aims to foster legal consciousness among diverse segments of society, empowering citizens with knowledge and promoting justice within the democratic framework, thereby honoring the spirit of the Constitution and the collective commitment to justice for all.",,,,,,,,,,,,,,,,
What is Samvidhan Katta?,"""Samvidhan Katta"" is a campaign initiated by the Department of Justice, Ministry of Law & Justice, to celebrate the Indian Constitution through dialogue and awareness, coinciding with India's 75th Republic Day. The initiative aims to foster a deeper understanding and appreciation of the Constitution among citizens by encouraging discussions about its principles and its impact on Indian society.",,,,,,,,,,,,,,,,
Significance of Samvidhan Katta,"This initiative provides a unique platform for individuals from various backgrounds?tudents, scholars, legal professionals, and common citizens?o engage in meaningful conversations about the Constitution. The term ?atta?refers to informal gatherings where open dialogue can occur, allowing participants to exchange ideas and opinions freely. The sessions aim to demystify the Constitution and highlight its role as a living document that upholds citizens' rights and liberties.",,,,,,,,,,,,,,,,
Objectives of Samvidhan Katta,- Foster Dialogue: Encourage discussions about the Indian Constitution.,,,,,,,,,,,,,,,,
Participate in Samvidhan Katta,"Individuals are invited to initiate their own Samvidhan Katta groups in various settings, such as classrooms or community centers, and to share their stories and contributions to embed constitutional values within society.",,,,,,,,,,,,,,,,
Notable Legal Cases to Discuss,"1. Indra Sawhney v. Union of India (1992): Upheld reservation for OBCs in government jobs, reinforcing equality.",,,,,,,,,,,,,,,,
How many parts are there in the Indian Constitution?,The Indian Constitution consists of 25 Parts.,,,,,,,,,,,,,,,,
What are the major sections of the Indian Constitution?,"The major sections are: Part I: The Union and its Territory (Articles 1-4), Part II: Citizenship (Articles 5-11), Part III: Fundamental Rights (Articles 12-35), Part IV: Directive Principles of State Policy (Articles 36-51), Part IV-A: Fundamental Duties (Article 51A), Part V: The Union (Articles 52-151), Part VI: The States (Articles 152-237), Part VII: The States in Part B of the First Schedule (Repealed, Article 238), Part VIII: The Union Territories (Articles 239-242), Part IX: The Panchayats (Articles 243-243O), Part IX-A: The Municipalities (Articles 243P-243ZG), Part X: The Scheduled and Tribal Areas (Articles 244-244A), Part XI: Relations between the Union and the States (Articles 245-263), Part XII: Finance, Property, Contracts, and Suits (Articles 264-300A), Part XIII: Trade, Commerce, and Intercourse within the Territory of India (Articles 301-307), Part XIV: Services under the Union and the States (Articles 308-323), Part XIV-A: Tribunals (Articles 323A-323B), Part XV: Elections (Articles 324-329A), Part XVI: Special Provisions relating to certain classes (Articles 330-342), Part XVII: Official Language (Articles 343-351), Part XVIII: Emergency Provisions (Articles 352-360), Part XIX: Miscellaneous (Articles 361-367), Part XX: Amendment of the Constitution (Article 368), Part XXI: Temporary, Transitional, and Special Provisions (Articles 369-371I), Part XXII: Short Title, Commencement, and Repeals (Articles 372-395).",,,,,,,,,,,,,,,,
How many schedules are there in the Indian Constitution?,"The Constitution includes 12 Schedules that provide additional information on various subjects, including the allocation of powers and responsibilities between the Union and State governments.",,,,,,,,,,,,,,,,
What does Article 14 guarantee?,"Article 14 guarantees the Right to Equality, stating that the State shall not deny to any person equality before the law or equal protection of the laws within the territory of India.",,,,,,,,,,,,,,,,
What rights are provided under Article 19?,"Article 19 guarantees the Right to Freedom, which includes the freedom of speech and expression, assembly, association, movement, residence, and profession, subject to reasonable restrictions.",,,,,,,,,,,,,,,,
What does Article 21 protect?,"Article 21 provides the Right to Life and Personal Liberty, stating that no person shall be deprived of his life or personal liberty except according to the procedure established by law.",,,,,,,,,,,,,,,,
What are Fundamental Duties as per Article 51A?,"Article 51A outlines the Fundamental Duties of every citizen, which include promoting harmony, safeguarding public property, and developing a scientific temper, among others.",,,,,,,,,,,,,,,,
What does Article 32 empower citizens to do?,"Article 32 grants the Right to Constitutional Remedies, allowing individuals to approach the Supreme Court for the enforcement of their Fundamental Rights.",,,,,,,,,,,,,,,,
What is the significance of Article 39?,"Article 39 directs the State to ensure equal pay for equal work for both men and women and to protect the health and strength of workers, especially women and children.",,,,,,,,,,,,,,,,
What does Article 41 guarantee?,"Article 41 provides the Right to Work, Education, and Public Assistance in certain cases, ensuring that the State shall make effective provisions for securing these rights.",,,,,,,,,,,,,,,,
What does Article 45 mandate?,Article 45 mandates the State to provide early childhood care and education for all children until they complete the age of six years.,,,,,,,,,,,,,,,,
What is the purpose of Article 46?,"Article 46 promotes the educational and economic interests of Scheduled Castes, Scheduled Tribes, and other weaker sections, protecting them from social injustice and all forms of exploitation.",,,,,,,,,,,,,,,,
What rights are provided under Article 300A?,"Article 300A guarantees that no person shall be deprived of his property save by authority of law, ensuring the right to property as a constitutional right.",,,,,,,,,,,,,,,,
What does Article 14 ensure for individuals?,"Article 14 ensures that every individual is treated equally before the law and prohibits discrimination based on religion, race, caste, sex, or place of birth.",,,,,,,,,,,,,,,,
What does Article 15 prohibit?,"Article 15 prohibits discrimination on grounds of religion, race, caste, sex, or place of birth and mandates the State to take affirmative action in favor of weaker sections.",,,,,,,,,,,,,,,,
What is the significance of Article 16?,"Article 16 guarantees equality of opportunity in matters of public employment and prohibits discrimination in government jobs based on religion, race, caste, sex, descent, place of birth, or residence.",,,,,,,,,,,,,,,,
What does Article 19(1)(a) ensure?,"Article 19(1)(a) ensures the Right to Freedom of Speech and Expression, allowing individuals to express their thoughts and opinions freely.",,,,,,,,,,,,,,,,
What is the importance of Article 26?,"Article 26 grants the right to manage religious affairs, allowing individuals and religious groups to establish and maintain institutions for religious purposes.",,,,,,,,,,,,,,,,
What does Article 27 ensure regarding taxes?,"Article 27 states that no person shall be compelled to pay any taxes for the promotion or maintenance of any particular religion, ensuring the secular character of the State.",,,,,,,,,,,,,,,,
What does Article 30 protect?,"Article 30 protects the rights of minorities to establish and administer educational institutions of their choice, fostering educational development among minority communities.",,,,,,,,,,,,,,,,
What is the significance of Article 31?,"Article 31 (now repealed) related to the right to property, stating that no person shall be deprived of his property save by authority of law, and provided for compensation in case of acquisition.",,,,,,,,,,,,,,,,
What does Article 41 guarantee?,"Article 41 guarantees the right to work, education, and public assistance in certain cases, ensuring the state provides these rights to citizens.",,,,,,,,,,,,,,,,
What does Article 368 deal with?,"Article 368 deals with the power of Parliament to amend the Constitution, outlining the procedure for making amendments and ensuring the fundamental framework of the Constitution is upheld.",,,,,,,,,,,,,,,,
What does Article 1 state about India?,"Article 1 states that India, that is Bharat, shall be a Union of States, affirming the country? identity as a sovereign nation with a federal structure.",,,,,,,,,,,,,,,,
What is the significance of Article 2?,"Article 2 empowers Parliament to admit into the Union, or establish new States on such terms and conditions as it thinks fit, facilitating the expansion of the Indian Union.",,,,,,,,,,,,,,,,
What does Article 3 enable?,"Article 3 enables Parliament to create new States or alter the boundaries of existing States, with the requirement of Presidential recommendation.",,,,,,,,,,,,,,,,
What does Article 4 pertain to?,"Article 4 deals with the exclusion of certain laws from judicial review regarding the creation of new States or the alteration of State boundaries, ensuring legislative actions are protected.",,,,,,,,,,,,,,,,
What does Article 19(1)(g) guarantee?,"Article 19(1)(g) guarantees the Right to Practice Any Profession, or to Carry on Any Occupation, Trade or Business, ensuring freedom of choice for individuals in their professional pursuits.",,,,,,,,,,,,,,,,
What does Article 21A ensure?,"Article 21A ensures the Right to Free and Compulsory Education for children aged six to fourteen years, reinforcing the importance of education in a democratic society.",,,,,,,,,,,,,,,,
What is the purpose of Article 22?,"Article 22 provides protection against arrest and detention in certain cases, ensuring that individuals have the right to be informed of the grounds of arrest and the right to consult a legal practitioner.",,,,,,,,,,,,,,,,
What does Article 23 prohibit?,"Article 23 prohibits trafficking in human beings and forced labor, emphasizing the protection of individual dignity and rights.",,,,,,,,,,,,,,,,
What does Article 24 state regarding child labor?,"Article 24 prohibits the employment of children below the age of fourteen in factories and hazardous employment, ensuring the protection of children? rights.",,,,,,,,,,,,,,,,
What rights are outlined in Article 25?,"Article 25 guarantees the freedom of conscience and the right to freely profess, practice, and propagate religion, ensuring religious freedom for all citizens.",,,,,,,,,,,,,,,,
What is the significance of Article 26?,"Article 26 provides the right to manage religious affairs and maintain institutions for religious purposes, enabling freedom of religion.",,,,,,,,,,,,,,,,
What does Article 27 ensure regarding religious taxes?,"Article 27 ensures that no person shall be compelled to pay taxes for the promotion or maintenance of any particular religion, thus ensuring the secular nature of the state.",,,,,,,,,,,,,,,,
What does Article 29 protect?,"Article 29 protects the interests of minorities by allowing them to conserve their culture, language, and script, promoting cultural diversity within the nation.",,,,,,,,,,,,,,,,
What does Article 30 allow for minority educational institutions?,"Article 30 grants minorities the right to establish and administer educational institutions of their choice, ensuring the right to education for minority communities.",,,,,,,,,,,,,,,,
What does Article 32 establish for individuals?,"Article 32 establishes the Right to Constitutional Remedies, allowing individuals to approach the Supreme Court directly for the enforcement of their Fundamental Rights, ensuring judicial protection.",,,,,,,,,,,,,,,,
What is the role of Article 44?,"Article 44 calls for the State to strive to secure for all citizens a Uniform Civil Code throughout the territory of India, promoting equality and justice.",,,,,,,,,,,,,,,,
What does Article 46 emphasize?,"Article 46 emphasizes the promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes, and other weaker sections, protecting them from social injustice.",,,,,,,,,,,,,,,,
What does Article 47 mandate the State to do?,"Article 47 mandates the State to raise the level of nutrition and the standard of living and to improve public health, emphasizing the importance of health in society.",,,,,,,,,,,,,,,,
What does Article 49 address?,"Article 49 directs the State to protect monuments and places of national importance, ensuring cultural heritage is preserved for future generations.",,,,,,,,,,,,,,,,
What are the articles under Part I: The Union?,"Articles 1 to 4: Define the territory of India, admission or establishment of new states, and the powers of Parliament regarding these states.",,,,,,,,,,,,,,,,
What are the articles under Part II: The States?,"Articles 5 to 11: Relate to the citizenship and rights of citizens in India, including provisions for the acquisition of citizenship.",,,,,,,,,,,,,,,,
What are the articles under Part III: Fundamental Rights?,"Articles 12 to 35: Guarantee fundamental rights to individuals, including the right to equality, freedom, protection against exploitation, and rights to constitutional remedies.",,,,,,,,,,,,,,,,
What are the articles under Part IV: Directive Principles of State Policy?,"Articles 36 to 51: Outline the directive principles for the state to promote social and economic welfare, establishing a framework for governance.",,,,,,,,,,,,,,,,
What are the articles under Part V: The Union?,"Articles 52 to 151: Cover the organization of the executive, the President, the Council of Ministers, and the Parliament of India.",,,,,,,,,,,,,,,,
What are the articles under Part VI: The States?,"Articles 152 to 237: Deal with the organization of the state government, the Governor, the state legislature, and the relations between the center and the states.",,,,,,,,,,,,,,,,
What are the articles under Part VII: The States in the B section?,Articles 238 to 242: This part was repealed by the 7th Amendment in 1956.,,,,,,,,,,,,,,,,
What are the articles under Part VIII: The Union Territories?,Articles 239 to 241: Relate to the administration and governance of Union territories.,,,,,,,,,,,,,,,,
What are the articles under Part IX: Panchayats?,Articles 243 to 243O: Deal with the establishment of Panchayati Raj institutions in rural areas and the governance framework.,,,,,,,,,,,,,,,,
What are the articles under Part IX A: The Municipalities?,Articles 243P to 243ZG: Provide for the governance of urban local bodies and the structure of municipalities.,,,,,,,,,,,,,,,,
What are the articles under Part X: The Scheduled and Tribal Areas?,Articles 244 to 244A: Focus on the administration and governance of Scheduled Areas and Tribal Areas.,,,,,,,,,,,,,,,,
What are the articles under Part XI: Relations between the Union and the States?,Articles 245 to 263: Discuss the distribution of legislative powers and responsibilities between the Union and State governments.,,,,,,,,,,,,,,,,
"What are the articles under Part XII: Finance, Property, Contracts and Suits?","Articles 264 to 300A: Deal with financial matters, property rights, and the state's liability in contract and tort.",,,,,,,,,,,,,,,,
"What are the articles under Part XIII: Trade, Commerce and Intercourse within the Territory of India?","Articles 301 to 307: Regulate trade, commerce, and intercourse within India and address restrictions on these rights.",,,,,,,,,,,,,,,,
What are the articles under Part XIV: Services under the Union and the States?,Articles 308 to 323: Cover the provisions related to the recruitment and service conditions of government employees.,,,,,,,,,,,,,,,,
What are the articles under Part XIV A: Tribunals?,Articles 323A to 323B: Provide for the establishment of administrative and other tribunals for the adjudication of disputes.,,,,,,,,,,,,,,,,
What are the articles under Part XV: Elections?,"Articles 324 to 329: Discuss the framework for elections in India, including the Election Commission and the conduct of elections.",,,,,,,,,,,,,,,,
What are the articles under Part XVI: Special Provisions relating to certain classes?,"Articles 330 to 342: Include provisions for the representation of Scheduled Castes, Scheduled Tribes, and other backward classes in legislative bodies.",,,,,,,,,,,,,,,,
What are the articles under Part XVII: Official Language?,"Articles 343 to 351: Provide for the official languages of the Union and the states, and the use of Hindi and other languages.",,,,,,,,,,,,,,,,
What are the articles under Part XVIII: Emergency Provisions?,"Articles 352 to 360: Discuss the different types of emergencies (national, state, and financial) and the powers of the President during such emergencies.",,,,,,,,,,,,,,,,
What are the articles under Part XIX: Miscellaneous?,Articles 361 to 367: Cover various provisions including the protection of the President and the Governor from legal proceedings.,,,,,,,,,,,,,,,,
What are the articles under Part XX: Amendment of the Constitution?,Article 368: Specifies the procedure for amending the Constitution.,,,,,,,,,,,,,,,,
"What are the articles under Part XXI: Temporary, Transitional and Special Provisions?","Articles 369 to 371J: Deal with special provisions for certain states and Union territories, including the special status of Jammu and Kashmir (historically).",,,,,,,,,,,,,,,,
"What are the articles under Part XXII: Short title, commencement, and repeals?",Article 372 to 395: Include provisions for the commencement of the Constitution and the repeals of previous laws.,,,,,,,,,,,,,,,,
How many sections are there in indian justice ?,448,,,,,,,,,,,,,,,,
What is the approved judge strength in the AP High Court?,"The approved judge strength in the AP High Court is 37, with 28 Permanent Judges and 9 Additional Judges.",,,,,,,,,,,,,,,,
Who is the Chief Justice of the AP High Court and what is their retirement date?,"The Chief Justice of the AP High Court is Justice Dhiraj Singh Thakur, and their retirement date is 24/04/2026.",,,,,,,,,,,,,,,,
Who is the most recently joined permanent judge in the AP High Court?,Justice Guhanathan Narendar joined as a permanent judge on 30/10/2023.,,,,,,,,,,,,,,,,
Which judge has the earliest retirement date in the AP High Court?,Justice T. Mallikarjuna Rao has the earliest retirement date of 18/01/2026.,,,,,,,,,,,,,,,,
How many judges in the AP High Court were appointed from the BAR?,"Most judges listed, including Justice Dhiraj Singh Thakur, Justice Guhanathan Narendar, and others, are from the BAR.",,,,,,,,,,,,,,,,
Are there any female judges in the AP High Court?,"Yes, some female judges in the AP High Court include Justice Kumari Boddupalli Sri Bhanumathi and Justice Smt. Vaddiboyana Sujatha.",,,,,,,,,,,,,,,,
Which judges in the AP High Court were appointed on 14/02/2022?,"The judges appointed on 14/02/2022 include Justice Konakanti Sreenivasa Reddy, Justice Gannamaneni Ramakrishna Prasad, and several others.",,,,,,,,,,,,,,,,
Which judge from the AP High Court was transferred to the Gujarat High Court?,Justice Cheekati Manavendranath Roy was transferred to the Gujarat High Court.,,,,,,,,,,,,,,,,
What is the retirement date for Justice Kumari Boddupalli Sri Bhanumathi in the AP High Court?,Justice Kumari Boddupalli Sri Bhanumathi's retirement date is 30/01/2030.,,,,,,,,,,,,,,,,
Which judge from the AP High Court has the latest retirement date?,Justice Smt. P. Venkata Jyothirmai has the latest retirement date of 31/07/2034.,,,,,,,,,,,,,,,,
Who was appointed as an additional judge on 27/01/2023 in the AP High Court?,Justice Smt. P. Venkata Jyothirmai and Justice V. Gopala Krishna Rao were appointed as additional judges on 27/01/2023.,,,,,,,,,,,,,,,,
Which judges were transferred from the AP High Court to other High Courts?,"Judges transferred from the AP High Court include Justice Cheekati Manavendranath Roy (Gujarat), Justice Lalitha Kanneganti (Karnataka), among others.",,,,,,,,,,,,,,,,
What are the initial and permanent appointment dates for Justice Ravi Nath Tilhari in the AP High Court?,Justice Ravi Nath Tilhari was appointed as an Additional Judge on 12/12/2019 and as a Permanent Judge on 26/03/2021.,,,,,,,,,,,,,,,,
Which judge from the AP High Court is from the service background and has a retirement date of 18/06/2025?,"Justice Dr. V. Radha Krishna Krupa Sagar, from a service background, has a retirement date of 18/06/2025.",,,,,,,,,,,,,,,,
Who joined the AP High Court from the Karnataka High Court on 30/10/2023?,Justice Guhanathan Narendar joined the AP High Court from the Karnataka High Court on 30/10/2023.,,,,,,,,,,,,,,,,
What is the source background of Justice Dr. Manmadha Rao in the AP High Court?,Justice Dr. K. Manmadha Rao is from the BAR background.,,,,,,,,,,,,,,,,
Are there any judges in the AP High Court with the service background appointed on 04/08/2022?,"Yes, several judges with a service background, including Justice Dr. V. Radha Krishna Krupa Sagar and Justice Srinivas Vutukuru, were appointed on 04/08/2022.",,,,,,,,,,,,,,,,
Who are the additional judges transferred to the AP High Court from other High Courts?,"The additional judges transferred to the AP High Court include Justice Harinath Nunepally, Justice Smt. Kiranmayee Mandava, among others.",,,,,,,,,,,,,,,,
When does the current term expire for Justice Harinath Nunepally in the AP High Court?,The current term for Justice Harinath Nunepally expires on 20/10/2025.,,,,,,,,,,,,,,,,
What is the retirement date for Justice Guhanathan Narendar in the AP High Court?,Justice Guhanathan Narendar's retirement date is 09/01/2026.,,,,,,,,,,,,,,,,
list of high courts judges in ap(Andhra pradesh)," here is the list of High Court judges in Andhra Pradesh: Justice Dhiraj Singh Thakur (CJ), Justice Guhanathan Narendar, Justice Ravi Nath Tilhari, Justice Rao Raghunandan Rao, Justice Ninala Jayasurya, Justice Boppudi Krishna Mohan, Justice Kanchireddy Suresh Reddy, Justice Dr. K. Manmadha Rao, Justice Kumari Boddupalli Sri Bhanumathi, Justice Konakanti Sreenivasa Reddy, Justice Gannamaneni Ramakrishna Prasad, Justice Venkateswarlu Nimmagadda, Justice Tarlada Rajasekhar Rao, Justice Satti Subba Reddy, Justice Ravi Cheemalapati, Justice Smt. Vaddiboyana Sujatha, Justice Dr. V. Radha Krishna Krupa Sagar, Justice Srinivas Vutukuru, Justice B.V.L.N. Chakravarthi, Justice T. Mallikarjuna Rao, Justice Smt. P. Venkata Jyothirmai, and Justice V. Gopala Krishna Rao. Additionally, there are transferred judges including Justice Cheekati Manavendranath Roy, Justice Smt. Lalitha Kanneganti, Justice Battu Devanand, Justice Donadi Ramesh, and Justice Duppala Venkata Ramana.",,,,,,,,,,,,,,,,
What is the total approved judge strength for the Bombay High Court?,"The approved judge strength for the Bombay High Court is 94, with 71 permanent and 23 additional judges.",,,,,,,,,,,,,,,,
